Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kanye West,Wash Us In The Blood,Wash Us in the Blood,2024-07-05 23:02,7mEUjhl6aTztdHCrxoTgBG,,0.67,0.847,10.0,-4.85,1.0,0.409,0.184,0.0,0.304,0.381,137.22,189827.0,4.0
照井順政,Jujutsu Kaisen Hidden Inventory/Premature Death - Original Soundtrack,If I Am With You,2024-07-05 22:59,7rxWdyCnDCzXuYwV28VTwd,,0.577,0.943,2.0,-2.373,1.0,0.0755,0.0329,6.33e-06,0.2,0.383,129.935,252853.0,4.0
Kendrick Lamar,Black Panther the Album Music From and Inspired By,Big Shot (with Travis Scott),2024-07-05 22:55,5cXg9IQS34FzLVdHhp7hu7,,0.855,0.478,1.0,-9.116,1.0,0.193,0.00759,0.0,0.101,0.283,130.018,221827.0,4.0
Tommy Richman,MILLION DOLLAR BABY,MILLION DOLLAR BABY,2024-07-05 22:53,5AJ9hqTS2wcFQCELCFRO7A,,0.852,0.697,1.0,-5.52,0.0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155152.0,4.0
Young Thug,So Much Fun,The London (feat. J. Cole & Travis Scott),2024-07-05 22:49,3s4mrPrEFFPF0LmAfutW0n,,0.784,0.517,4.0,-8.981,0.0,0.209,0.0249,1.44e-06,0.155,0.206,97.991,200187.0,4.0
CelloDeck Yoonkyung Cho,My Way,Por una Cabeza,2024-07-05 22:47,7tju2HSG3QIf2aezjEChkz,,0.227,0.172,7.0,-16.785,0.0,0.0514,0.971,0.823,0.112,0.316,171.277,183000.0,3.0
Tommy Richman,SOULCRUSHER,WHAT DO U LIKE,2024-07-05 22:47,5AJ9hqTS2wcFQCELCFRO7A,,0.852,0.697,1.0,-5.52,0.0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155152.0,4.0
Jean Sibelius,SIBELIUS: Piano Music Vol. 4,13 Pieces Op. 76: No. 3 Carillon,2024-07-05 22:45,4TxDN6eKixUNTgs3B2e4DE,,0.253,0.0151,5.0,-31.25,1.0,0.0373,0.992,0.862,0.071,0.0505,72.412,95227.0,3.0
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,HANA-BI - Live,2024-07-05 22:44,1pACiYWfCSt4d1prtS0orM,,0.176,0.196,7.0,-16.658,0.0,0.0346,0.936,0.936,0.11,0.0826,79.595,194533.0,5.0
Joe Hisaishi,NOSTALGIA ～PIANO STORIES III～,Nostalgia,2024-07-05 22:41,6thjKtlVjr9KgBXkjm3EGe,,0.263,0.178,1.0,-16.431,1.0,0.0286,0.976,0.698,0.123,0.0579,87.889,213960.0,4.0
