Artist,Album,Song,Date Played,Song ID
Austin Farwell,Once Upon a Time,Once Upon a Time,2024-07-05 22:14,7pcGcVUN9m12lfNuS3Xz8I
Joe Hisaishi,Howl's Moving Castle Soundtrack,You're In Love,2024-07-05 22:13,3Lsdp3mbD27MjxvTeFm0v3
Yehezkel Raz,Preludes Book 1 - Streams,Ballerina,2024-07-05 22:12,5lm18pjbwdth6ENVllxjfl
Fabrizio Paterlini,Fragments Found,Rue des Trois Frères,2024-07-05 22:05,3lSOZb5rruEnFbe9xWELF6
Joe Hisaishi,Freedom Piano Stories 4,Merry-Go-Round of Life - from 'Howl's Moving Castle',2024-07-05 22:00,39uLYYZytVUwcjgeYLI409
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Links,2024-07-05 18:44,0VyscP08nnuhIJCsghha5d
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,DEAD for Strings Perc. Harpe and Piano: 1. D.e.a.d,2024-07-05 18:36,2GhirY1WxwRTIW6R6FowyO
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,The Rain,2024-07-05 18:30,3blqASDu9vCsp7KeGtWuZn
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Ashitaka and San - Live,2024-07-05 18:26,41dTRbUxHUnjZlKAfo2jye
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,MKWAJU 1981-2009,2024-07-05 17:07,7foV6hkQS42AewdHBcR67b
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Silence,2024-07-05 17:03,161KlKBv120k9vQG7jKIsa
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Nocturne,2024-07-05 16:58,4e2KKhueXXcIjU3qAROR2B
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,View Of Silence,2024-07-05 16:53,37T3hJhojoDRdBu7qvpg0M
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Les Aventuriers,2024-07-05 16:39,5TzMynNpp6zK9ROdPTatCl
久石 譲 アンサンブル,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Summer,2024-07-05 16:34,02M7L7vwVmzrRNq6gx9oxE
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Friends - Live,2024-07-05 16:31,2mTnbwTikQfI9oTeM6W56D
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Rain Garden,2024-07-05 16:25,697jY7OLi15Iv3YUMrrULD
久石 譲 アンサンブル,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Two of Us,2024-07-05 16:21,6gfCiOpvo2WRk0REC3aTYd
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Departures -Memory-,2024-07-05 16:16,7uNu0IWPFHHmi8KI3akdEg
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,il porco rosso,2024-07-05 15:41,3CO5ts5kDH6KLX4OJPB40P
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,la pioggia,2024-07-05 15:36,2EvkfIfHqmLlKkKc3tcfPw
Satoshi Takebe,From Up On Poppy Hill Soundtrack,Signal Flags,2024-07-05 15:22,2lBN9vweWCONnpPf9aEAi7
Umitaro Abe,Cahier de musique / 音楽手帖,Reperages Pour Piano,2024-07-05 3:20,5d8JxoBBgMmBuYD9yrUZdJ
