Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Georges Bizet,The 50 Greatest Pieces of Classical Music,Carmen Suite No. 2: II. Habanera,2024-03-01 2:21,7opr2zfaf0dnpAqYRjUspl,,0.35,0.00493,2.0,-33.292,1.0,0.0418,0.962,0.315,0.101,0.484,126.841,126107.0,4.0
Edward Elgar,The 50 Greatest Pieces of Classical Music,Pomp and Circumstance Op. 39: No. 1 March in D Major,2024-03-01 2:16,6A0mgcjDWaUmuD3WKK9jdA,,0.329,0.319,2.0,-13.376,1.0,0.036,0.901,0.868,0.286,0.423,117.564,249600.0,4.0
Ludwig van Beethoven,The 50 Greatest Pieces of Classical Music,Bagatelle in A minor WoO 59 Für Elise,2024-03-01 2:12,3zLTPuucd3e6TxZnu2dlVS,,0.289,0.0306,9.0,-30.79,0.0,0.0446,0.987,0.911,0.102,0.118,125.61,212067.0,3.0
Wolfgang Amadeus Mozart,The 50 Greatest Pieces of Classical Music,Requiem in D Minor K. 626: III. Sequenz No. 6 Lacrymosa,2024-03-01 2:10,08B8Ki7qlUoT58Zd1trxkl,,0.0733,0.0951,2.0,-24.366,0.0,0.0418,0.957,0.644,0.568,0.0731,180.489,198667.0,5.0
Erik Satie,The 50 Greatest Pieces of Classical Music,3 Gymnopédies: I. Lent et douloureux,2024-03-01 2:06,4nd6FMCfNFWkbi2dnsf5I3,,0.4,0.00472,7.0,-37.89,1.0,0.0533,0.996,0.953,0.0985,0.5,60.092,190560.0,4.0
Pyotr Ilyich Tchaikovsky,The 50 Greatest Pieces of Classical Music,Swan Lake Op. 20a: No. 1 Scène,2024-03-01 2:03,0AvCP4oj9iV9tsx9V2G5jm,,0.101,0.111,4.0,-20.372,0.0,0.0405,0.826,0.897,0.107,0.124,174.226,160267.0,4.0
Johannes Brahms,The 50 Greatest Pieces of Classical Music,21 Hungarian Dances WoO 1: No. 5 Allegro in F-Sharp Minor,2024-03-01 2:00,2oLjhx7w8Hyd3gry9cCXr7,,0.358,0.167,7.0,-16.0,0.0,0.0354,0.899,0.96,0.103,0.6,144.601,138707.0,4.0
Johann Strauss II,The 50 Greatest Pieces of Classical Music,The Blue Danube Op. 314,2024-03-01 1:54,4J0e4gEqaLQlG5EM0wws1K,,0.233,0.0252,2.0,-24.824,1.0,0.0346,0.975,0.601,0.143,0.0936,94.736,707173.0,4.0
Antonín Dvořák,The 50 Greatest Pieces of Classical Music,Symphony No. 9 in E minor Op. 95 From the New World: II. Largo,2024-03-01 1:41,6nqHzwOdGIaX57U6VU6kMO,,0.236,0.163,4.0,-15.639,0.0,0.0348,0.901,0.737,0.124,0.114,141.518,685000.0,4.0
Jules Massenet,The 50 Greatest Pieces of Classical Music,Thaïs Act II: Méditation,2024-03-01 1:36,6WbiLUdYqdtaRVskHDFLdp,,0.17,0.0371,2.0,-26.981,1.0,0.0412,0.643,0.151,0.209,0.0397,83.567,328600.0,3.0
Johann Sebastian Bach,The 50 Greatest Pieces of Classical Music,Brandenburg Concerto No. 3 in G Major BWV 1048: III. Allegro,2024-03-01 1:31,3u1DGGFnZEOj78T5kVOZwn,,0.7,0.411,5.0,-16.541,1.0,0.0436,0.854,0.68,0.183,0.961,112.474,164107.0,4.0
