Artist,Album,Song,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Journey,Raised on Radio,Be Good to Yourself,2D5xQtVNi4o6F3Gh1qxD3Y,0.35,0.986,0,-2.682,1,0.067,0.0247,6.61E-06,0.315,0.357,148.937,231680,4
Journey,Greatest Hits,Only the Young,6S89Xbg2YPxmS5VfDBlZVt,0.338,0.858,0,-5.872,1,0.0427,0.0103,0,0.239,0.488,72.736,244493,4
Journey,Infinity,Lights,7EHmKkyAr6MZv5Y2FdZbXw,0.193,0.498,7,-9.901,1,0.0381,0.107,0.00711,0.332,0.344,205.422,190333,3
Journey,Evolution,Lovin' Touchin' Squeezin',10O20qYuUZHVNKdLZ7lG1h,0.333,0.663,2,-5.657,1,0.0535,0.121,0.000467,0.0794,0.683,212.664,232483,3
Fabvl,Let It All Burn,Let It All Burn,0H5sh6u7xJTAYSHSnh2S8i,0.655,0.625,4,-7.607,0,0.0404,0.226,0,0.159,0.333,130.057,217846,4
rustage,Overflow,Can't Stop,3VMIEzF8OmduTU1yUOo7k8,0.879,0.979,5,-3.089,0,0.183,0.335,0,0.089,0.729,109.958,187636,4
rustage,Overflow,Win Streak,2UkMQCPn80LBD7E3rIechD,0.682,0.988,9,-3.168,0,0.453,0.485,0,0.175,0.428,140.225,144857,4
rustage,Overflow,Anbu,6qbGnCKAYOIm5fzrTXTSzA,0.851,0.805,6,-5.115,0,0.226,0.209,0,0.0899,0.491,80.034,155984,4
Free Dominguez,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,A Stranger I Remain - Maniac Agenda Mix,29eKlSdk4dmwBgqtwASiFW,0.443,0.955,11,-5.01,0,0.0546,7.68E-06,0.206,0.125,0.432,164.96,145707,4
Divide Music,Darkest Hour (Inspired by Bleach),Darkest Hour (Inspired by Bleach),5Ko8QKlOYV3tbesPWsI4QQ,0.551,0.943,7,-3.437,1,0.0839,0.00356,0,0.118,0.421,92.539,210000,4
DJ Khaled,POPSTAR (feat. Drake),POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,200221,4
Tyson Yen,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,The Only Thing I Know For Real - Maniac Agenda Mix,4d3GprbGUek4vju6NFu592,0.424,0.98,1,-7.934,1,0.051,1.99E-06,0.84,0.276,0.696,145.018,146333,4
Mac Miller,Circles,Hands,2Yv2mHzr5AQavVdwQjEokV,0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,298440,4
Billie Eilish,Happier Than Ever,Getting Older,4HOryCnbme0zBnF8LWij3f,0.599,0.128,10,-17.261,1,0.109,0.974,0.121,0.115,0.367,159.679,244221,4
Summer Walker,Over It,Playing Games,2xyx0o4xNOLLjBSbOOdcbA,0.726,0.408,11,-6.606,0,0.0614,0.603,0,0.225,0.459,115.918,143227,4
Harry Styles,Harry's House,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,177955,4
余佳运,最好的都给你,最好的都给你,534pVu2FanNYZuhfNhorom,0.619,0.406,7,-8.161,1,0.0327,0.79,0,0.139,0.154,124.134,294000,4
Linkin Park,Hybrid Theory,In the End,3tSmXSxaAnU1EPGKa6NytH,0.555,0.844,3,-6.567,0,0.0554,0.00834,0,0.0895,0.464,105.195,216800,4
Franz Liszt,Vivy -Fluorite Eye's Song- Original Soundtrack,La Campanella,3L3PYGeOmc09PCxMZHsk6b,0.374,0.298,8,-17.187,0,0.0426,0.964,0.834,0.123,0.311,124.431,287227,3
AWOLNATION,RUN,Like People Like Plastic,7ueP5u2qkdZbIPN2YA6LR0,0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051,259093,4
AWOLNATION,RUN,Windows,6eXfVpYZW6v0VhUaNAh3K9,0.544,0.7,2,-4.808,0,0.0499,0.412,0.812,0.0881,0.372,153.964,217206,4
AWOLNATION,RUN,Jailbreak,4qbiCq2xkNPyojuZFeNeqx,0.616,0.761,3,-9.199,1,0.126,0.196,0.0025,0.374,0.708,145.074,240600,4
AWOLNATION,RUN,Run,7ueP5u2qkdZbIPN2YA6LR0,0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051,259093,4
Conway the Machine,La Maquina,Scatter Brain (feat. Ludacris & JID),4w7lBzX0EcDuy8tQLQvjC2,0.855,0.478,1,-8.698,1,0.107,0.0684,0,0.111,0.355,135.987,209118,4
The Heavy,The House That Dirt Built,Short Change Hero,7JOizhmt3HlBgQyJEa0AgK,0.68,0.64,1,-6.691,0,0.0336,0.29,0.00593,0.124,0.738,105.981,322267,4
