Artist,Album,Song,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Drake,Views,One Dance,1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4
A$AP Rocky,TESTING,Praise the Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040,4
Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
Kanye West,Donda,Hurricane,6Hfu9sc7jvv6coyy2LlzBF,0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,243187,4
Gunna,WUNNA,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,0.825,0.458,0,-7.47,1,0.0577,0.114,0,0.102,0.161,145.115,197760,4
Playboi Carti,Whole Lotta Red,ILoveUIHateU,1BpKJw4RZxaFB88NE5uxXf,0.684,0.693,4,-6.651,0,0.0339,0.00534,0,0.506,0.108,134.988,135122,4
Lil Skies,Life of a Dark Rose,Lust,7oJrVhiTPZGBXWPwhxjy9S,0.718,0.767,9,-5.641,1,0.166,0.138,0,0.114,0.519,160.084,156000,4
Quality Control,Quality Control: Control the Streets Volume 2,100 Racks (Offset feat. Playboi Carti),4T2dHb8XBYHlVj7Dyo1cW9,0.939,0.632,1,-2.978,1,0.137,0.0606,0.00136,0.101,0.364,133.979,157645,4
Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721,4
Kanye West,The Life of Pablo,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,135920,4
Gunna,a Gift & a Curse,fukumean,4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,125040,4
Gunna,WUNNA,SKYBOX,4jMPZl0GrSFgbogJ0C6sNG,0.78,0.635,1,-7.917,1,0.17,0.132,0,0.1,0.371,140.997,178093,4
Lil Uzi Vert,Luv Is Rage 2 (Deluxe),20 Min,0uxSUdBrJy9Un0EYoBowng,0.773,0.75,8,-4.009,0,0.117,0.109,0,0.174,0.783,123.426,220587,4
Kanye West,808s & Heartbreak,Heartless,4EWCNWgDS8707fNSZ1oaA5,0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,211000,4
Lil Uzi Vert,Luv Is Rage 2,XO TOUR Llif3,7GX5flRQZVHRAGd6B4TmDO,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,182707,4
French Montana,Jungle Rules,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4
Drake,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,0,-8.871,1,0.134,0.244,3.47E-05,0.107,0.522,133.976,261493,4
Drake,Dark Lane Demo Tapes,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,0.834,0.454,1,-9.75,0,0.201,0.321,6.15E-06,0.114,0.837,81.618,247059,4
Lil Wayne,I Am Not A Human Being II (Deluxe),Love Me,2XHzzp1j4IfTNp1FTn7YFg,0.67,0.634,11,-6.471,1,0.0326,0.0124,0,0.0946,0.497,124.926,255053,4
Drake,More Life,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
Playboi Carti,Die Lit,Lean 4 Real (feat. Skepta),29TPjc8wxfz4XMn21O7VsZ,0.785,0.903,2,-4.184,1,0.21,0.258,0,0.169,0.565,139.98,193234,4
Jake Eaw,Summer 2021 Anime Piano Vol.1,Sora To Utsuro,1iIb3vNgIwj3kklwXJX94c,0.479,0.269,5,-19.509,0,0.0338,0.973,0.957,0.111,0.426,103.995,87550,4
AZALI,alone together,alone together,1jkZUkwXsBdsxAcuZQ8Zh5,0.589,0.0505,7,-19.184,0,0.0537,0.962,0.89,0.108,0.395,74.882,73422,4
Jake Eaw,Spring 2022 Anime Piano Vol.1,Double Shuffle,2NUm8t925Rh0B40amE3vlF,0.439,0.834,5,-5.234,1,0.0327,0.333,0.939,0.381,0.876,154.275,139337,4
Jake Eaw,Fall 2021 Anime Piano Vol.2,Sympathy,1Ud6moTC0KyXMq1Oxfien0,0.703,0.668,9,-9.237,1,0.22,0.516,0,0.0588,0.561,116.039,378147,4
Rich Amiri,GHETTO FABULOUS,One Call,69phA1R4gmQsBFRQ3INW8C,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67E-05,0.114,0.253,158.105,121399,4
Kanye West,Wash Us In The Blood,Wash Us in the Blood,7mEUjhl6aTztdHCrxoTgBG,0.67,0.847,10,-4.85,1,0.409,0.184,0,0.304,0.381,137.22,189827,4
照井順政,Jujutsu Kaisen Hidden Inventory/Premature Death - Original Soundtrack,If I Am With You,7rxWdyCnDCzXuYwV28VTwd,0.577,0.943,2,-2.373,1,0.0755,0.0329,6.33E-06,0.2,0.383,129.935,252853,4
Kendrick Lamar,Black Panther the Album Music From and Inspired By,Big Shot (with Travis Scott),5cXg9IQS34FzLVdHhp7hu7,0.855,0.478,1,-9.116,1,0.193,0.00759,0,0.101,0.283,130.018,221827,4
Tommy Richman,MILLION DOLLAR BABY,MILLION DOLLAR BABY,5AJ9hqTS2wcFQCELCFRO7A,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155152,4
Young Thug,So Much Fun,The London (feat. J. Cole & Travis Scott),3s4mrPrEFFPF0LmAfutW0n,0.784,0.517,4,-8.981,0,0.209,0.0249,1.44E-06,0.155,0.206,97.991,200187,4
CelloDeck Yoonkyung Cho,My Way,Por una Cabeza,7tju2HSG3QIf2aezjEChkz,0.227,0.172,7,-16.785,0,0.0514,0.971,0.823,0.112,0.316,171.277,183000,3
Tommy Richman,SOULCRUSHER,WHAT DO U LIKE,5AJ9hqTS2wcFQCELCFRO7A,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155152,4
Jean Sibelius,SIBELIUS: Piano Music Vol. 4,13 Pieces Op. 76: No. 3 Carillon,4TxDN6eKixUNTgs3B2e4DE,0.253,0.0151,5,-31.25,1,0.0373,0.992,0.862,0.071,0.0505,72.412,95227,3
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,HANA-BI - Live,1pACiYWfCSt4d1prtS0orM,0.176,0.196,7,-16.658,0,0.0346,0.936,0.936,0.11,0.0826,79.595,194533,5
Joe Hisaishi,NOSTALGIA ～PIANO STORIES III～,Nostalgia,6thjKtlVjr9KgBXkjm3EGe,0.263,0.178,1,-16.431,1,0.0286,0.976,0.698,0.123,0.0579,87.889,213960,4
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Kids Return - Live,2c3wkztuWgSjrVFKCeNOIJ,0.383,0.454,7,-10.776,1,0.0313,0.931,0.887,0.114,0.35,143.934,248480,4
C418,Minecraft - Volume Alpha,Dry Hands,1gNcPHAiVIQZmqJFJdt3ti,0.68,0.00713,6,-22.499,0,0.0873,0.992,0.711,0.104,0.342,117.793,68500,4
Million Eyes,In the Wind,There Will Be Rain,0KeDuUqEX3P0cKzRD5pEom,0.644,0.433,9,-14.016,1,0.113,0.378,0,0.101,0.761,80.161,266733,4
Austin Farwell,City Lights,City Lights,3wIPXvtCRiEI3yGrVxJ04o,0.36,0.08,10,-23.637,1,0.0403,0.966,0.939,0.1,0.0832,72.565,119502,3
Janos Sebestyen,J. S. Bach: Italian Concerto / Chromatic Fantasia And Fugue / 12 Little Preludes,Prelude In C Minor BWV 999 : Prelude In C Minor BWV 999,7dtoSOz1CtVOJB6I5iPDxi,0.338,0.15,7,-27.434,0,0.0478,0.987,0.77,0.11,0.785,119.647,68573,3
Yu-Peng Chen,Genshin Impact - City of Winds and Idylls (Original Game Soundtrack),Tender Strength,4UnZNaZ6mI2TRanaCG8jJ6,0.474,0.0596,2,-21.343,1,0.0357,0.982,0.928,0.185,0.135,72.65,82756,4
C418,Minecraft - Volume Alpha,Wet Hands,1tinoQpYXzpZDrb0BjK1e7,0.616,0.035,9,-25.836,1,0.0432,0.996,0.939,0.0835,0.643,147.712,90000,3
Video Days,Sungazing,Bleached,7o7E1nrHWncYY7PY94gCiX,0.682,0.679,1,-11.548,1,0.0755,0.103,0.00831,0.204,0.251,131.157,252773,4
Austin Farwell,New Home,New Home,707BRCe5feUySwv7141QeA,0.378,0.014,5,-22.794,1,0.0515,0.994,0.87,0.116,0.198,71.865,126360,1
Million Eyes,In the Wind,The Mercy of the Wind,3xewaeP0aNxAWNS7s0T3Zv,0.363,0.619,8,-3.648,0,0.0374,0.113,5.79E-06,0.128,0.433,145.686,214579,4
Fabrizio Paterlini,Transitions III,Waltz,73fZnvwSUlWwt9LLRkknzs,0.27,0.0516,8,-33.766,0,0.0442,0.986,0.953,0.112,0.199,87.587,64788,4
Hikaru Shirosu,Waltz No. 1 Op. 6 Collapse,Waltz No. 1 Op. 6 Collapse,0J2lmSTQQWhTiglHDbhLWm,0.505,0.0239,9,-27.412,0,0.0445,0.994,0.956,0.123,0.193,155.588,156039,3
Imaginary Ambition,Take Five but it's Song of Storms,Take Five but It's Song of Storms,6ffSbztpp1JxDqiaJ0qcHV,0.578,0.28,7,-14.248,1,0.06,0.648,0.902,0.105,0.244,75.755,133253,4
Ben Crosland,The Turn,Oceans Apart,1yqM5O07lL7R6UAdK5jvrR,0.396,0.0559,9,-20.707,0,0.0599,0.987,0.935,0.11,0.278,95.217,78413,1
Austin Farwell,Once Upon a Time,Once Upon a Time,7pcGcVUN9m12lfNuS3Xz8I,0.346,0.0227,6,-25.447,1,0.0387,0.982,0.921,0.0976,0.0611,69.424,92592,5
Joe Hisaishi,Howl's Moving Castle Soundtrack,You're In Love,3Lsdp3mbD27MjxvTeFm0v3,0.526,0.0344,7,-27.855,0,0.11,0.996,0.924,0.118,0.208,67.101,71800,4
Yehezkel Raz,Preludes Book 1 - Streams,Ballerina,5lm18pjbwdth6ENVllxjfl,0.376,0.0207,3,-35.713,1,0.0678,0.993,0.954,0.0938,0.429,75.607,71581,1
Hikaru Shirosu,Op. 1: Multiverse,Waltz No. 1 Collapse,0J2lmSTQQWhTiglHDbhLWm,0.505,0.0239,9,-27.412,0,0.0445,0.994,0.956,0.123,0.193,155.588,156039,3
Fabrizio Paterlini,Fragments Found,Rue des Trois Frères,3lSOZb5rruEnFbe9xWELF6,0.354,0.169,8,-18.45,1,0.0405,0.959,0.889,0.1,0.105,138.125,111443,3
Joe Hisaishi,Freedom Piano Stories 4,Merry-Go-Round of Life - from 'Howl's Moving Castle',39uLYYZytVUwcjgeYLI409,0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,311107,3
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Links,0VyscP08nnuhIJCsghha5d,0.556,0.125,7,-18.549,1,0.0516,0.994,0.969,0.104,0.382,104.191,121229,4
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,DEAD for Strings Perc. Harpe and Piano: 1. D.e.a.d,2GhirY1WxwRTIW6R6FowyO,0.705,0.402,5,-14.231,1,0.0407,0.539,0.386,0.119,0.81,78.072,179653,4
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,The Rain,3blqASDu9vCsp7KeGtWuZn,0.273,0.202,6,-17.268,0,0.0362,0.936,0.76,0.163,0.119,153.331,338320,4
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Ashitaka and San - Live,41dTRbUxHUnjZlKAfo2jye,0.238,0.244,1,-16.448,1,0.0285,0.939,0.866,0.181,0.126,83.571,257560,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,MKWAJU 1981-2009,7foV6hkQS42AewdHBcR67b,0.258,0.287,6,-12.218,0,0.0294,0.15,0,0.388,0.328,107.945,213560,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Silence,161KlKBv120k9vQG7jKIsa,0.36,0.355,0,-11.509,1,0.0289,0.941,0.427,0.28,0.224,170.09,418213,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Nocturne,4e2KKhueXXcIjU3qAROR2B,0.436,0.15,7,-17.835,1,0.0493,0.991,0.944,0.0812,0.278,150.127,279232,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,View Of Silence,37T3hJhojoDRdBu7qvpg0M,0.33,0.363,5,-11.899,0,0.0357,0.659,1.69E-05,0.186,0.441,85.855,223800,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Les Aventuriers,5TzMynNpp6zK9ROdPTatCl,0.461,0.483,5,-8.192,0,0.0401,0.567,0,0.278,0.286,94.007,287733,4
久石 譲 アンサンブル,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Summer,02M7L7vwVmzrRNq6gx9oxE,0.685,0.872,5,-4.945,1,0.465,0.489,0,0.841,0.724,110.044,226909,4
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Friends - Live,2mTnbwTikQfI9oTeM6W56D,0.357,0.0693,0,-21.25,1,0.04,0.993,0.841,0.103,0.13,166.477,237267,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Rain Garden,697jY7OLi15Iv3YUMrrULD,0.763,0.768,10,-5.978,1,0.0419,0.477,2.50E-05,0.168,0.926,96.695,208600,4
久石 譲 アンサンブル,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Two of Us,6gfCiOpvo2WRk0REC3aTYd,0.389,0.366,1,-9.473,1,0.0294,0.338,0,0.0654,0.438,84.17,216387,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Departures -Memory-,7uNu0IWPFHHmi8KI3akdEg,0.141,0.191,0,-15.328,1,0.0328,0.664,0.0207,0.183,0.0684,169.017,173627,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,White Night,4e2KKhueXXcIjU3qAROR2B,0.436,0.15,7,-17.835,1,0.0493,0.991,0.944,0.0812,0.278,150.127,279232,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,For You,6gfCiOpvo2WRk0REC3aTYd,0.389,0.366,1,-9.473,1,0.0294,0.338,0,0.0654,0.438,84.17,216387,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Lost Sheep on the bed,4e2KKhueXXcIjU3qAROR2B,0.436,0.15,7,-17.835,1,0.0493,0.991,0.944,0.0812,0.278,150.127,279232,4
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,il porco rosso,3CO5ts5kDH6KLX4OJPB40P,0.413,0.232,10,-16.28,1,0.0274,0.858,0.865,0.064,0.118,79.953,292827,4
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,la pioggia,2EvkfIfHqmLlKkKc3tcfPw,0.203,0.0897,5,-21.225,1,0.0345,0.971,0.891,0.0991,0.0389,64.233,314093,4
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Angel Doll,37T3hJhojoDRdBu7qvpg0M,0.33,0.363,5,-11.899,0,0.0357,0.659,1.69E-05,0.186,0.441,85.855,223800,4
Satoshi Takebe,From Up On Poppy Hill Soundtrack,Signal Flags,2lBN9vweWCONnpPf9aEAi7,0.415,0.131,0,-17.695,1,0.101,0.327,0,0.159,0.21,66.877,109960,3
久石譲,Encore,アシタカとサン,37T3hJhojoDRdBu7qvpg0M,0.33,0.363,5,-11.899,0,0.0357,0.659,1.69E-05,0.186,0.441,85.855,223800,4
Umitaro Abe,Cahier de musique / 音楽手帖,Reperages Pour Piano,5d8JxoBBgMmBuYD9yrUZdJ,0.368,0.0478,7,-24.734,1,0.0442,0.981,0.868,0.112,0.179,142.301,105213,4
Ryuichi Sakamoto,koko,Dancing In The Sky,12TkChYdKe9Vj8s5Tkq1SI,0.656,0.129,0,-18.402,1,0.107,0.99,0.907,0.106,0.0502,108.85,69400,4
Sumi Shimamoto,sings ジブリ リニューアル ピアノ バージョン,あの夏へ,5AadvZ7rCvY2RHtPuRtZv0,0.448,0.175,0,-15.669,1,0.0532,0.993,0.948,0.161,0.0667,131.668,109427,4
Justin Hurwitz,La La Land (Original Motion Picture Score),Mia & Sebastian’s Theme (Celesta),0GO6zmB9vtMNUcQH5nZBmc,0.166,0.0686,5,-26.014,1,0.042,0.988,0.443,0.203,0.173,100.458,87707,3
久石譲,Piano Stories Best '88-'08,The Wind Forest,4e2KKhueXXcIjU3qAROR2B,0.436,0.15,7,-17.835,1,0.0493,0.991,0.944,0.0812,0.278,150.127,279232,4
Hikaru Shirosu,Op. 1: Multiverse,Prelude No. 2 Saxophone Quartet,7jzddgRM1rI7shJJLvirBd,0.621,0.0626,10,-29.762,0,0.0664,0.993,0.919,0.143,0.209,65.692,209091,4
Claude Debussy,Debussy: Clair de Lune and Other Piano Favourites,La Fille aux Cheveux de Lin L. 33,0fpqOyC5DLDe5gAYKBB6X7,0.362,0.00218,6,-36.579,1,0.0543,0.995,0.945,0.064,0.182,109.601,147493,3
Takatsugu Muramatsu,WHEN MARNIE WAS THERE Soundtrack Music Collection,While Cutting Tomatoes,39mLvARa00g7fQiU65xhMB,0.419,0.00398,2,-29.37,1,0.0672,0.994,0.909,0.102,0.267,118.255,73907,4
Toshifumi Hinata,ひとつぶの海,Menuet,0NxCQL5OFodinhM1GO5dxi,0.187,0.261,2,-14.007,0,0.0442,0.959,0.815,0.111,0.0936,100.311,106333,4
Hasso Gakudan,Pom Poko Soundtrack,Life of a Tanuki,6U4BQjSv0ijFfOlkUpRP8h,0.589,0.0201,0,-24.674,1,0.0413,0.992,0.761,0.105,0.428,72.379,103933,4
Edvard Grieg,Miniatures and Collectibles,Arietta,2YIaZvqivJGIFvyeDR2YUr,0.427,0.0204,3,-31.351,1,0.0405,0.996,0.938,0.274,0.346,111.242,83227,1
Hikaru Shirosu,Stories of a Figure Skater - Day Off,Stories of a Figure Skater - Day Off,6oLdsKc3HYsBgmMKhwoOlK,0.35,0.397,0,-9.607,1,0.0289,0.726,0.545,0.113,0.157,131.931,319360,4
Camille Saint-Saëns,Saint-Saëns: Le Carnaval des Animaux; Phaéton; Danse Macabre etc.,Le carnaval des animaux R. 125: 13. Le cygne,5Aa3InQJHLUtSvTDtXXMsW,0.167,0.02,7,-31.634,1,0.0413,0.992,0.928,0.0714,0.0431,129.916,165307,4
Joe Hisaishi,Spirited Away Soundtrack,Day of the River,26W3vc21aHLaHF90gbsiq1,0.329,0.093,0,-22.214,1,0.0299,0.97,0.937,0.0939,0.0545,79.441,193000,4
Katsu Hoshi,Only Yesterday Original Soundtrack,Main Theme,4Ybnlh6ZJPqK6Os6QbQL5H,0.295,0.0622,0,-24.878,1,0.0393,0.936,0.89,0.0771,0.046,81.17,109000,4
Taku Matsushiba,ユートラ/ユーリ!!! on ICE サウンド・トラックCOLLECTION,Afternoon Waltz,1H4o83GjFDM6tJ3Gu7EvKM,0.63,0.509,2,-12.339,1,0.0549,0.146,0.692,0.165,0.84,118.014,129153,4
Alexander Borodin,ムソルグスキー：「展覧会の絵」ラヴェル編、禿山の一夜、ボロディン：ダッタン人の踊り、「中央アジアの草原にて,ダッタン人の踊り (歌劇 イーゴリ公より) 2 娘たちの流麗な踊り,3nz5gOAnmsgP55CFsj9cdN,0.0779,0.163,9,-24.799,1,0.0371,0.973,0.864,0.132,0.272,176.235,93640,4
Hikaru Shirosu,Tea Picking (Piano Solo Version),Tea Picking - Piano Solo Version,5FzAePCRLMHqBg4iY9ktOD,0.59,0.0247,2,-27.456,1,0.0827,0.995,0.964,0.149,0.357,117.932,133000,4
Joe Hisaishi,Howl's Moving Castle Soundtrack,Opening Song - Merry-Go-Round of Life,39uLYYZytVUwcjgeYLI409,0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,311107,3
Piero Piccioni,Amore Mio Aiutami (Original Motion Picture Soundtrack),Violino,77TMuFit7SUhof0gl8LSpE,0.192,0.244,10,-16.796,1,0.0384,0.957,0.875,0.135,0.0741,95.516,171187,1
Toshifumi Hinata,オーガニック・スタイル 日向敏文 the BEST ～In the Twilight～,Good Evening Heartache - 2007 ver.,2oN1uU4jnxUYTR9WsFgEWY,0.108,0.0784,5,-21.804,1,0.0369,0.963,0.764,0.177,0.0325,83.595,101547,1
Million Eyes,In the Wind,A Bed of Flowers,27cHwY7UTuadZD5XfoxxpI,0.498,0.709,0,-3.135,0,0.0325,0.00815,0,0.127,0.439,112.628,238227,4
Hemio,Love Does Soul Like Water on Withered Soil,Bosco (Forest),4cm3I11ru6zfDGU1COPpq7,0.505,0.686,0,-10.215,1,0.054,0.00564,0.778,0.244,0.181,114.083,206316,4
Hikaru Shirosu,Blue Stone of Atlas (Piano Solo Version),Blue Stone of Atlas - Piano Solo Version,7N05mAG1X23Sd2PNOyoJSF,0.455,0.0038,10,-32.104,1,0.177,0.992,0.951,0.141,0.254,204.573,158000,4
Takatsugu Muramatsu,WHEN MARNIE WAS THERE Soundtrack Music Collection,The Girl in the Blue Window,7plrChn41Ko3l5LueHOiYE,0.747,0.811,11,-4.935,1,0.0378,0.00509,0.325,0.316,0.684,123.016,200000,4
Toshifumi Hinata,オーガニック・スタイル 日向敏文 the BEST ～In the Twilight～,Mother's Grace,15iCgIOLcRNK4QRzMVlxNU,0.276,0.0554,9,-20.589,0,0.0333,0.959,0.824,0.111,0.0998,77.262,111013,3
Million Eyes,In the Wind,In Your Dreams,2A03tItx3iW4HSQefRCzsD,0.634,0.905,8,-3.741,0,0.0631,0.339,1.45E-05,0.0474,0.753,132.042,194693,4
久石譲,Encore,Labyrinth of Eden,0JOD85cRNVI7qbLz8NBaQP,0.458,0.0875,0,-23.444,1,0.0677,0.995,0.884,0.112,0.111,122.274,213773,3
Yu-Peng Chen,Genshin Impact - City of Winds and Idylls (Original Game Soundtrack),Say My Name,3aZTpVwyzdp2Jb7sBFWjVd,0.502,0.0442,5,-22.474,1,0.0371,0.967,0.672,0.093,0.193,73.694,111936,4
Hikaru Shirosu,・・・・for Piano,・・・・for Piano,17Avg1jSSasTET7Frh8MsO,0.31,0.0237,10,-28.909,1,0.0599,0.988,0.939,0.118,0.0624,69.491,146949,4
Toshifumi Hinata,ひとつぶの海,End of the Summer,3qlWyv2wrWHPNfDVbxXh4s,0.428,0.00268,7,-27.096,0,0.0634,0.996,0.969,0.189,0.294,71.744,108733,5
Shin Kono,TBS系 金曜ドラマ「大恋愛~僕を忘れる君と」オリジナル・サウンドトラック,Forget-me-not~ピアノバージョン,5KSGI8yuyaqVoW9X8Bypv2,0,0.0939,0,-22.034,1,0,0.991,0.931,0.0856,0,0,117286,0
Million Eyes,In the Wind,Lily's Dance,1HTlWjFFHXEgPSNv6FwbNk,0.694,0.0452,6,-25.665,1,0.0465,0.976,0.952,0.113,0.0734,130.958,129160,3
Hikaru Shirosu,Prelude No. 3 Final Stars,Prelude No. 3 Final Stars,6HXPnLjDnlXiPRMcE0liej,0.35,0.00411,0,-26.257,1,0.0611,0.995,0.561,0.0618,0.18,174.335,125000,3
Ryuichi Sakamoto,Playing the Piano 12122020,MUJI2020,6q4yJfdPmQh5OkzJHrj538,0.562,0.0429,2,-21.516,0,0.0708,0.993,0.945,0.119,0.264,111.163,134302,3
久石譲,Porco Rosso Soundtrack,Bygone Days,7r3FYPlFjXYfqbAFV8pdXD,0.499,0.386,7,-18.207,1,0.0583,0.969,0.892,0.689,0.153,70.774,345167,4
Hikaru Shirosu,Op. 1,Waltz No. 1 in B Minor Collapse,1AxZdya49udSTKEhDV8VYp,0.483,0.0745,11,-24.502,0,0.04,0.994,0.917,0.133,0.385,168.357,144072,3
Invadable Harmony,Lament,Lament,1CJJ2EFKRybboFI5gaOm2R,0.554,0.0527,0,-31.084,0,0.0419,0.99,0.909,0.0738,0.27,78.993,120885,3
Sebastian Reuten,Under This Luminous Sky (Original Animated Short Film Soundtrack),Introduction,1tVxrdrb8rkR56DilhRSQV,0.622,0.541,8,-7.02,0,0.0314,0.00364,0.0778,0.074,0.564,129.012,129640,4
Maurice Ravel,Ravel: Orchestral Works Vol. 5,Antar (After N. Rimsky-Korsakov): No. 7. Ravel: Allegretto,0Ee9oam0N0ZzxZSN9nogTQ,0.152,0.0116,5,-33.668,1,0.0387,0.749,0.855,0.294,0.0387,137.649,65960,4
Austin Farwell,High Above,High Above,25b7fqfmk1yDyWcmoiiAkd,0.277,0.097,7,-23.615,1,0.0365,0.947,0.935,0.106,0.133,59.328,77531,3
Caleb Bryant,Pacifica,Pacifica,5ErAUJ075R5Q25mi9r4bni,0.602,0.664,11,-12.409,1,0.0312,0.037,0.632,0.17,0.695,102.99,135175,4
Caleb Bryant,Serenity,Serenity,5B0WdUAkBplspeMpn3nVcq,0.728,0.606,7,-6.624,1,0.0474,0.383,1.88E-05,0.108,0.428,140.008,194653,4
Travis Scott,ASTROWORLD,ASTROTHUNDER,4MXhiYIRDMGAuvZc5IFTwC,0.7,0.46,4,-8.111,0,0.0661,0.142,4.81E-05,0.111,0.286,151.901,142969,4
Gunna,One of Wun,one of wun,4Na2HfNSr58chvfX69fy36,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,144000,4
Travis Scott,UTOPIA,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),7x0n8ScpYy59dFVEMphOQ1,0.655,0.663,3,-6.457,0,0.099,0.172,0.0068,0.125,0.143,76.999,314836,4
Travis Scott,UTOPIA,TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,0.458,0.535,5,-4.854,0,0.0281,0.575,0,0.168,0.216,82.826,353755,4
Travis Scott,UTOPIA,K-POP (feat. Bad Bunny & The Weeknd),5L3ecxQnQ9qTBmnLQiwf0C,0.814,0.618,5,-5.614,0,0.0619,0.0386,3.34E-06,0.671,0.535,121.075,185221,4
Travis Scott,UTOPIA,LOOOVE (feat. Kid Cudi),0a4SMs889NwP8oWI7Vemle,0.678,0.739,3,-4.358,1,0.044,0.0712,0,0.388,0.108,110.967,226715,4
Travis Scott,UTOPIA,LOST FOREVER (feat. Westside Gunn),7EiUtdeoWcKqLi5ELZCjYf,0.645,0.803,1,-4.223,1,0.227,0.085,0,0.101,0.314,89.499,163072,4
Travis Scott,UTOPIA,SKITZO (feat. Young Thug),0bkV1iQHSxBaksUqgEkcbc,0.472,0.551,5,-7.219,0,0.25,0.103,0,0.345,0.347,83.25,366593,4
Travis Scott,UTOPIA,PARASAIL (feat. Yung Lean & Dave Chappelle),3iT4c9MPnaordWrfvTs8MU,0.699,0.889,11,-4.999,0,0.0683,0.422,0,0.226,0.869,97.026,168200,4
Travis Scott,UTOPIA,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),7hveL9mAxP1Toq2llCyW02,0.667,0.544,7,-11.969,1,0.0292,0.163,0.0698,0.107,0.431,115.997,220267,4
Travis Scott,UTOPIA,TOPIA TWINS (feat. Rob49 & 21 Savage),0lodMO0qK83vfPiiD7FMEt,0.715,0.567,1,-4.481,0,0.0865,0.06,0,0.0655,0.332,160.098,223174,4
